entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome,month
2025-04-02 16:55:00,2025-04-02 20:55:00,1,bb,3122.21,3113.63,3139.37,3123.58,1.0699999999998908,48,EOD,2025-04
2025-04-02 23:00:00,2025-04-02 23:10:00,-1,bb,3123.78,3129.66,3112.020000000001,3112.020000000001,11.459999999999308,2,TP,2025-04
2025-04-03 05:35:00,2025-04-03 07:50:00,1,bb,3147.67,3141.72,3159.5700000000006,3141.72,-6.250000000000273,27,SL,2025-04
2025-04-03 11:20:00,2025-04-03 13:00:00,-1,bb,3130.1,3135.1,3120.1,3120.1,9.7,20,TP,2025-04
2025-04-03 21:35:00,2025-04-03 23:40:00,1,bb,3104.76,3099.13,3116.0200000000004,3116.0200000000004,10.960000000000218,25,TP,2025-04
2025-04-04 03:20:00,2025-04-04 03:30:00,1,bb,3112.5,3108.26,3120.9799999999996,3108.26,-4.5399999999997815,2,SL,2025-04
2025-04-04 03:40:00,2025-04-04 05:30:00,1,bb,3110.87,3103.01,3126.5899999999992,3103.01,-8.159999999999673,22,SL,2025-04
2025-04-04 07:45:00,2025-04-04 08:55:00,-1,bb,3102.75,3107.94,3092.37,3107.94,-5.490000000000054,14,SL,2025-04
2025-04-04 09:30:00,2025-04-04 11:15:00,-1,bb,3102.42,3110.88,3085.5,3085.5,16.620000000000072,21,TP,2025-04
2025-04-04 13:10:00,2025-04-04 13:25:00,-1,bb,3095.19,3103.12,3079.3300000000004,3103.12,-8.229999999999837,3,SL,2025-04
2025-04-04 22:25:00,2025-04-04 22:45:00,-1,bb,3028.59,3037.65,3010.4700000000003,3037.65,-9.359999999999946,4,SL,2025-04
2025-04-04 22:50:00,2025-04-07 01:00:00,-1,bb,3036.33,3043.84,3021.3099999999995,3021.3099999999995,14.720000000000436,14,TP,2025-04
2025-04-07 04:25:00,2025-04-07 04:30:00,-1,bb,3019.17,3023.81,3009.8900000000003,3023.81,-4.9399999999998725,1,SL,2025-04
2025-04-07 09:50:00,2025-04-07 10:10:00,1,bb,3025.56,3015.7,3045.28,3015.7,-10.160000000000128,4,SL,2025-04
2025-04-07 16:20:00,2025-04-07 16:30:00,1,bb,3027.48,3018.55,3045.3399999999997,3018.55,-9.229999999999837,2,SL,2025-04
2025-04-07 17:15:00,2025-04-07 17:25:00,1,bb,3028.19,3007.94,3068.69,3007.94,-20.55,2,SL,2025-04
2025-04-07 17:30:00,2025-04-07 21:30:00,-1,bb,3005.84,3040.94,2935.6400000000003,2971.84,33.7,48,EOD,2025-04
2025-04-07 22:25:00,2025-04-07 22:35:00,-1,bb,2974.07,2978.44,2965.3300000000004,2978.44,-4.669999999999891,2,SL,2025-04
2025-04-07 22:40:00,2025-04-07 23:20:00,-1,bb,2978.45,2984.95,2965.45,2984.95,-6.8,8,SL,2025-04
2025-04-07 23:25:00,2025-04-08 03:25:00,-1,bb,2983.87,2988.8,2974.0099999999993,2988.8,-5.230000000000291,36,SL,2025-04
2025-04-08 07:00:00,2025-04-08 09:35:00,1,bb,2998.52,2990.64,3014.28,3014.28,15.460000000000218,31,TP,2025-04
2025-04-08 11:05:00,2025-04-08 12:20:00,1,bb,3005.97,2998.31,3021.2899999999995,2998.31,-7.959999999999854,15,SL,2025-04
2025-04-08 15:25:00,2025-04-08 19:00:00,1,bb,3009.61,3000.18,3028.4700000000007,3000.18,-9.730000000000292,43,SL,2025-04
2025-04-09 01:30:00,2025-04-09 02:00:00,-1,bb,2982.82,2988.29,2971.8800000000006,2988.29,-5.7699999999998,6,SL,2025-04
2025-04-09 02:05:00,2025-04-09 02:35:00,-1,bb,2986.71,2993.77,2972.59,2972.59,13.81999999999989,6,TP,2025-04
2025-04-09 03:30:00,2025-04-09 04:25:00,-1,bb,2980.36,2990.0,2961.0800000000004,2990.0,-9.939999999999873,11,SL,2025-04
2025-04-09 07:00:00,2025-04-09 09:10:00,1,bb,3005.75,2996.68,3023.8900000000003,3023.8900000000003,17.840000000000327,26,TP,2025-04
2025-04-09 13:20:00,2025-04-09 14:15:00,1,bb,3040.06,3035.31,3049.56,3049.56,9.2,11,TP,2025-04
2025-04-09 20:30:00,2025-04-10 01:30:00,1,bb,3067.44,3048.37,3105.5800000000004,3087.84,20.10000000000009,48,EOD,2025-04
2025-04-10 04:40:00,2025-04-10 05:15:00,1,bb,3088.09,3075.52,3113.2300000000005,3113.2300000000005,24.840000000000327,7,TP,2025-04
2025-04-10 08:50:00,2025-04-10 10:35:00,1,bb,3119.93,3109.69,3140.4099999999994,3109.69,-10.539999999999782,21,SL,2025-04
2025-04-10 10:40:00,2025-04-10 12:10:00,1,bb,3111.95,3103.59,3128.669999999999,3103.59,-8.659999999999673,18,SL,2025-04
2025-04-10 17:15:00,2025-04-10 21:15:00,1,bb,3144.04,3113.82,3204.4799999999996,3160.62,16.279999999999927,48,EOD,2025-04
2025-04-11 07:20:00,2025-04-11 08:00:00,1,bb,3214.63,3207.95,3227.9900000000007,3207.95,-6.980000000000291,8,SL,2025-04
2025-04-11 08:05:00,2025-04-11 08:25:00,1,bb,3207.59,3202.69,3217.3900000000003,3217.3900000000003,9.500000000000181,4,TP,2025-04
2025-04-11 13:45:00,2025-04-11 15:30:00,1,bb,3216.0,3209.42,3229.16,3229.16,12.859999999999854,21,TP,2025-04
2025-04-11 19:55:00,2025-04-11 21:00:00,1,bb,3223.25,3216.77,3236.21,3236.21,12.660000000000036,13,TP,2025-04
2025-04-14 03:20:00,2025-04-14 04:25:00,-1,bb,3224.53,3230.27,3213.0500000000006,3230.27,-6.0399999999997815,13,SL,2025-04
2025-04-14 04:30:00,2025-04-14 08:30:00,1,bb,3234.38,3214.77,3273.6000000000004,3225.73,-8.950000000000092,48,EOD,2025-04
2025-04-14 17:50:00,2025-04-14 18:40:00,-1,bb,3212.54,3218.56,3200.5,3200.5,11.739999999999963,10,TP,2025-04
2025-04-14 21:40:00,2025-04-15 02:40:00,1,bb,3204.4,3198.35,3216.5000000000005,3211.99,7.289999999999691,48,EOD,2025-04
2025-04-15 03:05:00,2025-04-15 04:15:00,1,bb,3211.55,3207.78,3219.09,3219.09,7.239999999999964,14,TP,2025-04
