bias,bb,atr_max,ses,rr,trades,wr,net,pf,dd,tpd,losing_months,worst_month,max_consec_loss,n_months
ribbon_4MA_15M,"BB(30,1.5)",none,hot8,3.000,1165,30.300,-796.800,0.878,1139.210,2.263,9,-376.180,16,18
ribbon_4MA_15M,"BB(30,1.5)",none,L+NY,1.500,1176,45.578,639.600,1.115,265.205,2.286,6,-63.090,11,18
ribbon_4MA_15M,"BB(30,1.5)",none,L+NY,2.000,1097,38.924,195.350,1.034,509.200,2.133,8,-159.490,19,18
ribbon_4MA_15M,"BB(30,1.5)",none,L+NY,3.000,1032,32.558,-430.300,0.926,1007.680,2.006,9,-317.510,19,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,all,1.500,2014,41.112,-481.250,0.949,795.920,3.912,12,-279.260,14,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,all,2.000,1911,36.054,-495.960,0.948,989.880,3.712,8,-388.820,14,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,all,3.000,1830,30.437,-1084.940,0.889,1222.150,3.554,12,-349.300,15,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,hot8,1.500,989,42.366,44.340,1.010,323.540,1.921,10,-116.850,8,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,hot8,2.000,948,35.654,-282.570,0.939,497.780,1.841,11,-177.620,12,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,hot8,3.000,919,29.162,-707.510,0.855,894.840,1.785,13,-189.310,14,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,L+NY,1.500,891,44.220,336.540,1.083,224.135,1.734,7,-138.710,12,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,L+NY,2.000,843,37.604,122.630,1.029,342.220,1.640,8,-123.610,14,18
ribbon_4MA_15M,"BB(30,1.5)",1.2,L+NY,3.000,802,30.798,-442.940,0.900,730.720,1.560,9,-301.390,19,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,all,1.500,2330,42.189,-62.020,0.994,637.795,4.525,10,-169.215,16,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,all,2.000,2188,36.837,-293.420,0.973,1024.490,4.250,7,-381.950,17,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,all,3.000,2080,31.442,-904.830,0.919,1397.080,4.040,12,-440.710,17,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,hot8,1.500,1182,42.978,283.140,1.052,330.765,2.296,9,-135.755,9,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,hot8,2.000,1116,36.022,-232.050,0.959,642.180,2.168,10,-246.110,12,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,hot8,3.000,1068,29.869,-730.770,0.875,980.900,2.074,12,-296.680,15,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,L+NY,1.500,1073,45.573,779.165,1.160,209.415,2.086,4,-94.635,11,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,L+NY,2.000,999,38.539,329.440,1.066,350.960,1.942,7,-91.950,16,18
ribbon_4MA_15M,"BB(30,1.5)",1.5,L+NY,3.000,942,32.059,-316.340,0.939,814.310,1.832,10,-239.710,17,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,all,1.500,2470,42.510,-88.315,0.993,755.090,4.797,9,-236.615,16,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,all,2.000,2314,37.079,-348.830,0.971,1229.340,4.494,8,-376.950,17,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,all,3.000,2194,31.541,-1124.300,0.906,1588.520,4.261,13,-594.230,18,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,hot8,1.500,1269,42.790,125.835,1.021,403.695,2.465,8,-130.535,9,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,hot8,2.000,1201,36.137,-335.230,0.946,738.150,2.333,9,-283.850,13,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,hot8,3.000,1144,29.808,-882.790,0.861,1174.930,2.222,10,-395.270,16,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,L+NY,1.500,1153,45.533,671.620,1.125,233.905,2.242,5,-66.135,11,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,L+NY,2.000,1073,38.863,264.500,1.049,421.300,2.086,7,-112.000,18,18
ribbon_4MA_15M,"BB(30,1.5)",2.0,L+NY,3.000,1010,32.277,-425.980,0.924,893.040,1.964,9,-336.600,18,18
ribbon_4MA_15M,"BB(30,2.0)",none,all,1.500,1877,43.047,-115.805,0.987,659.790,3.646,9,-246.910,17,18
ribbon_4MA_15M,"BB(30,2.0)",none,all,2.000,1797,37.618,-315.130,0.967,789.190,3.490,9,-352.240,20,18
