ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_only,P1,2.000,3.000,798,33.584,33.208,65.789,-356.915,-0.447,0.911,733.517,7.899,100.000,0.000,m1,ema21
ribbon_ema55,P1,2.000,3.000,783,33.972,33.716,65.390,-360.485,-0.460,0.909,719.924,7.751,100.000,0.000,m1,ema21
ribbon_ema100,both,1.500,2.000,1033,40.271,40.271,59.342,-389.846,-0.377,0.905,703.624,10.219,74.443,25.557,m1,ema21
ribbon_ema55_ema100,both,1.500,2.000,1033,40.271,40.271,59.342,-389.846,-0.377,0.905,703.624,10.219,74.443,25.557,m1,ema21
ribbon_only,both,1.000,3.000,1121,49.777,49.866,50.134,-391.321,-0.349,0.909,706.663,11.093,77.966,22.034,m1,ema21
ribbon_ema55_ema100,P1,1.500,3.000,855,41.170,41.053,58.480,-403.242,-0.472,0.893,796.891,8.464,100.000,0.000,m1,ema21
ribbon_ema100,P1,1.500,3.000,855,41.170,41.053,58.480,-403.242,-0.472,0.893,796.891,8.464,100.000,0.000,m1,ema21
ribbon_ema100,P1,1.000,3.000,963,49.844,50.052,49.948,-433.256,-0.450,0.878,687.588,9.533,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,1.000,3.000,963,49.844,50.052,49.948,-433.256,-0.450,0.878,687.588,9.533,100.000,0.000,m1,ema21
ribbon_only,both,1.500,2.000,1054,40.512,40.323,59.298,-458.606,-0.435,0.893,689.708,10.427,76.186,23.814,m1,ema21
ribbon_ema55,both,1.500,2.000,1040,40.000,39.808,59.808,-495.457,-0.476,0.883,742.998,10.289,74.615,25.385,m1,ema21
ribbon_ema55_ema100,P1,1.000,2.000,999,47.848,48.148,51.852,-501.110,-0.502,0.845,683.671,9.889,100.000,0.000,m1,ema21
ribbon_ema100,P1,1.000,2.000,999,47.848,48.148,51.852,-501.110,-0.502,0.845,683.671,9.889,100.000,0.000,m1,ema21
ribbon_ema55,P1,1.000,2.000,1005,47.363,47.463,52.537,-563.511,-0.561,0.832,720.299,9.949,100.000,0.000,m1,ema21
ribbon_only,P1,1.500,3.000,871,39.610,39.495,59.931,-565.024,-0.649,0.860,909.685,8.622,100.000,0.000,m1,ema21
ribbon_ema55,P1,1.000,3.000,963,48.806,49.013,50.987,-566.196,-0.588,0.847,781.895,9.533,100.000,0.000,m1,ema21
ribbon_ema55,P1,1.500,3.000,854,39.813,39.696,59.719,-584.816,-0.685,0.852,923.435,8.454,100.000,0.000,m1,ema21
ribbon_only,P1,1.000,3.000,980,48.469,48.673,51.327,-598.566,-0.611,0.841,812.171,9.701,100.000,0.000,m1,ema21
ribbon_ema100,P1,1.500,2.000,906,39.404,39.514,60.265,-600.752,-0.663,0.831,866.017,8.969,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,1.500,2.000,906,39.404,39.514,60.265,-600.752,-0.663,0.831,866.017,8.969,100.000,0.000,m1,ema21
ribbon_only,P1,1.000,2.000,1027,47.420,47.517,52.483,-602.517,-0.587,0.825,758.393,10.166,100.000,0.000,m1,ema21
ribbon_only,P1,1.500,2.000,927,39.266,39.159,60.518,-679.722,-0.733,0.819,897.621,9.177,100.000,0.000,m1,ema21
ribbon_ema55,P1,1.500,2.000,906,38.631,38.521,61.148,-731.259,-0.807,0.802,945.162,8.969,100.000,0.000,m1,ema21
