Etc/UTC,Open,High,Low,Close,Volume
2026-05-29T05:05:00+00:00,4509.655,4510.805,4509.285,4510.205,19770
2026-05-29T05:06:00+00:00,4510.245,4510.515,4509.355,4509.585,12120
2026-05-29T05:07:00+00:00,4509.625,4510.635,4509.375,4510.115,12060
2026-05-29T05:08:00+00:00,4510.095,4510.575,4509.175,4509.295,13680
2026-05-29T05:09:00+00:00,4509.465,4510.065,4509.145,4509.745,13080
2026-05-29T05:10:00+00:00,4509.745,4510.075,4509.265,4509.755,13500
2026-05-29T05:11:00+00:00,4509.535,4509.535,4508.785,4509.105,16080
2026-05-29T05:12:00+00:00,4509.105,4510.185,4508.565,4509.805,18570
2026-05-29T05:13:00+00:00,4509.808,4510.365,4509.675,4509.675,10200
2026-05-29T05:14:00+00:00,4509.605,4512.165,4509.505,4511.658,17430
2026-05-29T05:15:00+00:00,4511.658,4511.665,4510.378,4510.805,17580
2026-05-29T05:16:00+00:00,4510.725,4511.595,4510.275,4511.525,15840
2026-05-29T05:17:00+00:00,4511.565,4511.865,4510.548,4511.745,14630
2026-05-29T05:18:00+00:00,4511.715,4511.945,4510.925,4511.265,17110
2026-05-29T05:19:00+00:00,4511.275,4511.685,4510.845,4511.555,13980
2026-05-29T05:20:00+00:00,4511.565,4511.805,4510.705,4511.075,16800
2026-05-29T05:21:00+00:00,4511.055,4511.205,4510.765,4510.905,12840
2026-05-29T05:22:00+00:00,4510.905,4511.015,4510.525,4510.875,10440
2026-05-29T05:23:00+00:00,4510.845,4510.875,4509.805,4510.535,14310
2026-05-29T05:24:00+00:00,4510.515,4510.935,4509.455,4509.605,15840
2026-05-29T05:25:00+00:00,4509.605,4510.365,4509.538,4509.548,12450
2026-05-29T05:26:00+00:00,4509.745,4510.485,4509.685,4510.295,13320
2026-05-29T05:27:00+00:00,4510.165,4510.565,4509.325,4509.615,16680
2026-05-29T05:28:00+00:00,4509.685,4509.915,4509.385,4509.675,12000
2026-05-29T05:29:00+00:00,4509.625,4510.075,4509.098,4509.575,21930
2026-05-29T05:30:00+00:00,4509.795,4512.465,4508.215,4512.335,58780
2026-05-29T05:31:00+00:00,4512.365,4512.545,4510.085,4510.085,39610
2026-05-29T05:32:00+00:00,4510.125,4510.125,4507.825,4508.245,30900
2026-05-29T05:33:00+00:00,4508.275,4509.485,4507.358,4507.365,29800
2026-05-29T05:34:00+00:00,4507.358,4509.005,4507.128,4508.075,32340
2026-05-29T05:35:00+00:00,4508.028,4508.028,4506.235,4506.365,28600
2026-05-29T05:36:00+00:00,4506.385,4507.825,4505.298,4507.395,28300
2026-05-29T05:37:00+00:00,4507.348,4507.785,4506.125,4506.278,24950
2026-05-29T05:38:00+00:00,4506.278,4506.278,4502.465,4503.125,36670
2026-05-29T05:39:00+00:00,4503.295,4504.125,4502.455,4503.278,45330
2026-05-29T05:40:00+00:00,4503.328,4503.898,4502.435,4503.095,40400
2026-05-29T05:41:00+00:00,4503.095,4504.455,4502.775,4504.195,30520
2026-05-29T05:42:00+00:00,4504.255,4506.635,4504.015,4505.385,33660
2026-05-29T05:43:00+00:00,4505.368,4507.355,4505.335,4506.665,28270
2026-05-29T05:44:00+00:00,4506.665,4507.835,4506.305,4506.455,24060
2026-05-29T05:45:00+00:00,4506.545,4508.655,4505.268,4507.215,34440
2026-05-29T05:46:00+00:00,4507.315,4508.275,4506.725,4507.765,29880
2026-05-29T05:47:00+00:00,4507.465,4508.145,4505.755,4506.685,29400
2026-05-29T05:48:00+00:00,4506.755,4507.015,4505.915,4505.995,18360
2026-05-29T05:49:00+00:00,4506.095,4506.195,4505.275,4505.835,19320
2026-05-29T05:50:00+00:00,4505.805,4506.035,4503.765,4505.205,29550
2026-05-29T05:51:00+00:00,4505.305,4507.575,4504.985,4507.145,23580
2026-05-29T05:52:00+00:00,4506.995,4511.325,4506.995,4510.815,30720
2026-05-29T05:53:00+00:00,4510.755,4512.755,4510.605,4512.745,24420
2026-05-29T05:54:00+00:00,4512.665,4515.775,4512.315,4514.745,34140
2026-05-29T05:55:00+00:00,4514.775,4515.325,4512.945,4512.985,34300
2026-05-29T05:56:00+00:00,4512.975,4512.975,4511.235,4511.525,24900
2026-05-29T05:57:00+00:00,4511.445,4511.735,4510.405,4511.695,30270
2026-05-29T05:58:00+00:00,4511.545,4512.385,4511.025,4511.765,30480
2026-05-29T05:59:00+00:00,4511.765,4514.745,4511.235,4514.745,31440
2026-05-29T06:00:00+00:00,4514.745,4521.755,4514.205,4519.735,59400
2026-05-29T06:01:00+00:00,4519.295,4520.315,4517.865,4519.155,37200
2026-05-29T06:02:00+00:00,4519.065,4522.265,4518.045,4520.085,35550
2026-05-29T06:03:00+00:00,4520.015,4520.425,4518.035,4518.135,26730
2026-05-29T06:04:00+00:00,4518.235,4519.315,4517.335,4518.955,28110
2026-05-29T06:05:00+00:00,4518.815,4519.895,4517.825,4519.275,30060
2026-05-29T06:06:00+00:00,4519.345,4519.345,4517.445,4518.385,28560
2026-05-29T06:07:00+00:00,4518.415,4518.695,4517.475,4517.665,21480
2026-05-29T06:08:00+00:00,4517.635,4518.685,4517.115,4517.115,25080
2026-05-29T06:09:00+00:00,4517.105,4517.845,4514.115,4514.125,28980
2026-05-29T06:10:00+00:00,4514.215,4514.905,4513.525,4514.245,30480
2026-05-29T06:11:00+00:00,4514.295,4514.715,4512.955,4513.515,20130
2026-05-29T06:12:00+00:00,4513.565,4514.885,4513.565,4513.685,24420
2026-05-29T06:13:00+00:00,4513.595,4514.595,4510.885,4510.945,26220
2026-05-29T06:14:00+00:00,4511.005,4515.875,4511.005,4515.455,25260
2026-05-29T06:15:00+00:00,4515.445,4515.655,4513.835,4514.425,25050
2026-05-29T06:16:00+00:00,4514.455,4514.695,4512.335,4512.705,24060
2026-05-29T06:17:00+00:00,4512.775,4513.565,4509.855,4509.875,31440
2026-05-29T06:18:00+00:00,4510.045,4511.565,4509.675,4511.505,28590
2026-05-29T06:19:00+00:00,4511.535,4512.235,4511.115,4511.285,15300
2026-05-29T06:20:00+00:00,4511.315,4513.175,4511.185,4512.185,25710
2026-05-29T06:21:00+00:00,4512.185,4512.215,4511.195,4511.835,23490
2026-05-29T06:22:00+00:00,4511.855,4519.635,4511.575,4517.545,42990
2026-05-29T06:23:00+00:00,4517.535,4517.955,4516.925,4517.865,27000
2026-05-29T06:24:00+00:00,4517.785,4518.925,4517.665,4518.505,25260
2026-05-29T06:25:00+00:00,4517.995,4519.575,4516.165,4516.845,27060
2026-05-29T06:26:00+00:00,4516.885,4517.525,4516.045,4517.265,24000
2026-05-29T06:27:00+00:00,4517.225,4520.535,4517.225,4519.485,32430
2026-05-29T06:28:00+00:00,4519.515,4521.305,4519.235,4519.295,31620
2026-05-29T06:29:00+00:00,4519.285,4519.315,4516.375,4516.375,29640
