ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema100,both,1.500,3.000,1087,40.478,34.867,54.738,-781.535,-0.719,0.910,1138.785,10.751,78.473,21.527,m1,swing3m
ribbon_only,P1,1.500,2.000,1142,40.280,34.764,54.904,-799.580,-0.700,0.905,1203.350,11.295,100.000,0.000,m1,swing3m
ribbon_ema55,both,2.000,2.000,1046,35.660,27.725,59.465,-807.780,-0.772,0.903,1003.980,10.345,78.776,21.224,m1,swing3m
ribbon_only,both,1.000,2.000,1465,49.556,47.304,46.758,-837.790,-0.572,0.911,1036.680,14.490,81.843,18.157,m1,swing3m
ribbon_ema100,both,1.000,3.000,1324,49.169,46.450,47.054,-873.910,-0.660,0.905,1051.350,13.095,80.211,19.789,m1,swing3m
ribbon_ema55_ema100,both,1.000,3.000,1324,49.169,46.450,47.054,-873.910,-0.660,0.905,1051.350,13.095,80.211,19.789,m1,swing3m
ribbon_ema55_ema100,P1,1.000,2.000,1412,49.788,47.663,47.025,-910.110,-0.645,0.896,1096.020,13.965,100.000,0.000,m1,swing3m
ribbon_ema100,P1,1.000,2.000,1412,49.788,47.663,47.025,-910.110,-0.645,0.896,1096.020,13.965,100.000,0.000,m1,swing3m
ribbon_ema100,both,1.000,2.000,1464,49.522,47.336,47.404,-935.270,-0.639,0.899,1143.520,14.480,79.986,20.014,m1,swing3m
ribbon_ema55_ema100,both,1.000,2.000,1464,49.522,47.336,47.404,-935.270,-0.639,0.899,1143.520,14.480,79.986,20.014,m1,swing3m
ribbon_ema55,P1,1.500,2.000,1166,39.966,35.077,55.660,-941.720,-0.808,0.890,1251.240,11.532,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,1.500,2.000,1177,40.017,35.429,55.650,-943.400,-0.802,0.893,1222.785,11.641,78.250,21.750,m1,swing3m
ribbon_ema100,both,1.500,2.000,1177,40.017,35.429,55.650,-943.400,-0.802,0.893,1222.785,11.641,78.250,21.750,m1,swing3m
ribbon_ema55_ema100,P1,2.000,2.000,1012,34.486,27.569,60.672,-984.200,-0.973,0.877,1221.320,10.009,100.000,0.000,m1,swing3m
ribbon_ema100,P1,2.000,2.000,1012,34.486,27.569,60.672,-984.200,-0.973,0.877,1221.320,10.009,100.000,0.000,m1,swing3m
ribbon_ema100,P1,1.000,3.000,1297,48.805,46.338,47.263,-1018.980,-0.786,0.886,1188.560,12.828,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,1.000,3.000,1297,48.805,46.338,47.263,-1018.980,-0.786,0.886,1188.560,12.828,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,2.000,2.000,1052,35.171,27.852,60.361,-1023.590,-0.973,0.879,1358.790,10.405,76.806,23.194,m1,swing3m
ribbon_ema100,both,2.000,2.000,1052,35.171,27.852,60.361,-1023.590,-0.973,0.879,1358.790,10.405,76.806,23.194,m1,swing3m
ribbon_ema55_ema100,P1,1.500,3.000,1064,39.850,34.492,55.263,-1037.305,-0.975,0.878,1275.350,10.524,100.000,0.000,m1,swing3m
ribbon_ema100,P1,1.500,3.000,1064,39.850,34.492,55.263,-1037.305,-0.975,0.878,1275.350,10.524,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,2.000,3.000,950,34.316,26.211,60.316,-1059.090,-1.115,0.868,1262.380,9.396,100.000,0.000,m1,swing3m
ribbon_ema100,P1,2.000,3.000,950,34.316,26.211,60.316,-1059.090,-1.115,0.868,1262.380,9.396,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,2.000,3.000,974,34.497,26.386,60.267,-1170.210,-1.201,0.861,1388.900,9.633,78.131,21.869,m1,swing3m
ribbon_ema100,both,2.000,3.000,974,34.497,26.386,60.267,-1170.210,-1.201,0.861,1388.900,9.633,78.131,21.869,m1,swing3m
ribbon_ema100,P1,1.500,2.000,1147,39.756,35.397,56.059,-1180.595,-1.029,0.861,1458.810,11.344,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,1.500,2.000,1147,39.756,35.397,56.059,-1180.595,-1.029,0.861,1458.810,11.344,100.000,0.000,m1,swing3m
