ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55_ema100,both,2.000,2.000,4028,36.569,26.639,57.448,-417.879,-0.104,0.973,920.367,2.610,71.549,28.451,m30_15,swing15m
ribbon_only,both,2.000,3.000,3673,37.953,23.006,53.471,-446.313,-0.122,0.974,765.179,2.380,75.388,24.612,m30_15,swing15m
ribbon_only,both,1.500,3.000,3879,41.609,31.090,50.168,-470.732,-0.121,0.973,872.914,2.514,76.051,23.949,m30_15,swing15m
ribbon_ema55,both,2.000,2.000,3984,36.672,25.728,57.179,-477.083,-0.120,0.971,784.985,2.582,73.996,26.004,m30_15,swing15m
ribbon_ema100,P2,1.000,3.000,1943,48.533,44.879,46.577,-487.165,-0.251,0.922,726.952,1.259,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,1.000,3.000,1944,48.508,44.856,46.605,-488.992,-0.252,0.922,729.946,1.260,0.000,100.000,m30_15,swing15m
ribbon_only,P2,1.000,2.000,1885,48.064,45.252,48.170,-489.206,-0.260,0.919,583.533,1.222,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,1.000,3.000,1868,47.805,43.790,46.842,-494.012,-0.264,0.925,721.718,1.211,0.000,100.000,m30_15,swing15m
ribbon_only,P1,1.000,3.000,3691,48.930,42.698,43.674,-520.157,-0.141,0.966,956.274,2.392,100.000,0.000,m30_15,swing15m
ribbon_ema100,both,2.000,3.000,3768,37.261,24.602,54.857,-521.324,-0.138,0.968,883.476,2.442,71.311,28.689,m30_15,swing15m
ribbon_ema55_ema100,P1,1.500,2.000,3574,40.739,32.820,53.190,-524.899,-0.147,0.962,882.756,2.316,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,both,2.000,3.000,3768,37.235,24.602,54.910,-527.579,-0.140,0.967,889.075,2.442,71.231,28.769,m30_15,swing15m
ribbon_ema100,P1,1.500,2.000,3574,40.711,32.792,53.218,-532.850,-0.149,0.962,890.707,2.316,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,1.500,2.000,3604,40.982,32.297,52.830,-551.198,-0.153,0.963,869.467,2.335,100.000,0.000,m30_15,swing15m
ribbon_ema55,both,2.000,3.000,3702,37.655,23.366,54.241,-553.233,-0.149,0.967,779.662,2.399,74.014,25.986,m30_15,swing15m
ribbon_only,P2,1.000,3.000,1845,47.209,42.927,47.425,-645.950,-0.350,0.904,771.188,1.196,0.000,100.000,m30_15,swing15m
ribbon_ema55,both,1.500,3.000,3907,41.515,31.431,50.653,-652.164,-0.167,0.962,909.423,2.532,74.840,25.160,m30_15,swing15m
ribbon_only,both,1.500,2.000,4179,40.680,32.663,53.362,-659.622,-0.158,0.961,1033.583,2.708,75.832,24.168,m30_15,swing15m
ribbon_ema100,P1,1.000,3.000,3664,48.745,43.177,44.350,-721.448,-0.197,0.949,971.579,2.374,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,1.000,3.000,3664,48.745,43.177,44.350,-723.369,-0.197,0.949,973.501,2.374,100.000,0.000,m30_15,swing15m
ribbon_ema100,both,1.500,3.000,3974,41.193,32.159,51.384,-723.778,-0.182,0.955,1017.881,2.575,72.068,27.932,m30_15,swing15m
ribbon_ema55_ema100,both,1.500,3.000,3974,41.168,32.159,51.434,-729.684,-0.184,0.955,1023.788,2.575,71.993,28.007,m30_15,swing15m
ribbon_ema100,both,1.500,2.000,4221,40.512,33.357,53.873,-794.503,-0.188,0.949,1185.703,2.735,72.447,27.553,m30_15,swing15m
ribbon_ema55,P1,1.000,3.000,3689,48.712,42.722,44.185,-800.912,-0.217,0.947,1114.692,2.390,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,both,1.500,2.000,4223,40.540,33.389,53.872,-801.827,-0.190,0.948,1192.371,2.736,72.389,27.611,m30_15,swing15m
ribbon_only,both,1.000,3.000,4212,48.647,42.949,44.468,-835.545,-0.198,0.951,1065.079,2.729,76.306,23.694,m30_15,swing15m
ribbon_ema55,both,1.500,2.000,4183,40.593,32.680,53.622,-942.407,-0.225,0.943,1119.908,2.711,74.659,25.341,m30_15,swing15m
ribbon_ema100,both,1.000,3.000,4312,48.353,43.553,45.292,-979.878,-0.227,0.938,1202.095,2.794,72.820,27.180,m30_15,swing15m
ribbon_only,P1,1.000,2.000,3937,47.854,43.536,46.634,-980.370,-0.249,0.934,1283.773,2.551,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,both,1.000,3.000,4313,48.342,43.543,45.305,-985.450,-0.228,0.938,1207.012,2.795,72.780,27.220,m30_15,swing15m
ribbon_ema55,both,1.000,3.000,4242,48.491,43.116,44.884,-1086.153,-0.256,0.935,1264.555,2.749,75.342,24.658,m30_15,swing15m
ribbon_only,both,1.000,2.000,4564,47.787,43.975,47.152,-1212.415,-0.266,0.927,1385.239,2.957,76.052,23.948,m30_15,swing15m
ribbon_ema55_ema100,P1,1.000,2.000,3857,47.420,43.505,47.342,-1216.175,-0.315,0.911,1355.596,2.499,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,1.000,2.000,3857,47.394,43.479,47.368,-1222.999,-0.317,0.911,1362.419,2.499,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,1.000,2.000,3908,47.595,43.373,47.057,-1278.746,-0.327,0.913,1426.549,2.532,100.000,0.000,m30_15,swing15m
ribbon_ema100,both,1.000,2.000,4586,47.492,44.134,47.841,-1334.857,-0.291,0.913,1480.080,2.972,73.027,26.973,m30_15,swing15m
ribbon_ema55_ema100,both,1.000,2.000,4588,47.493,44.137,47.864,-1352.908,-0.295,0.912,1498.130,2.973,72.973,27.027,m30_15,swing15m
ribbon_ema55,both,1.000,2.000,4564,47.765,44.062,47.415,-1443.364,-0.316,0.911,1589.523,2.957,75.088,24.912,m30_15,swing15m
